State,INTEGER,CHAR,BOOLEAN,STRING,TYPE,EQUALS,ARRAY,LEFT_SQUARE,RIGHT_SQUARE,OF,STRUCT,LEFT_BRACES,RIGHT_BRACES,SEMI_COLON,COLON,FUNCTION,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,COMMA,VAR,IF,ELSE,WHILE,DO,BREAK,CONTINUE,RETURN,AND,OR,LESS_THAN,GREATER_THAN,LESS_OR_EQUAL,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,PLUS,MINUS,TIMES,DIVIDE,PLUS_PLUS,MINUS_MINUS,NOT,DOT,TRUE,FALSE,CHARACTER,STRINGVAL,NUMERAL,ID,$,P,LDE,DE,T,DT,DC,DF,LP,B,LDV,LS,DV,LI,S,E,L,R,Y,F,LE,LV,TRU,FALS,CH,ST,NU,IDT,IDU,IDD,NB,NF,MA,ME,MC,MF,MT,MW
121, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , , , ,147,87,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
122, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , , , , ,148,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
123, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , , , , ,149,88, ,89,96,97,98,99,100, ,93, , , , , , , , , 
124, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , , , , , ,150, ,89,96,97,98,99,100, ,93, , , , , , , , , 
125, , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , , , , , , , ,s94, , ,s90,s91,s95, ,s101,s102,s103,s104,s31,s22, , , , , , , , , , , , , , , , , , , ,151, ,89,96,97,98,99,100, ,93, , , , , , , , , 
126, , , , , , , , ,r56, , , , ,r56, , , ,r56,r56, , , , , , , , ,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127, , , , , , , , ,r57, , , , ,r57, , , ,r57,r57, , , , , , , , ,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128, , , , , , , ,s81,r54, , , , ,r54, , , ,r54,r54, , , , , , , , ,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54, , , ,s80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129, , , , , , , ,s81,r55, , , , ,r55, , , ,r55,r55, , , , , , , , ,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55, , , ,s80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130, , , , , , , , , , , , , , , , , ,s152, , , , , , , , , ,s114,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131, , , , , , , , , , , , , , , , ,s153, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
